codigo_consulta,ok,http_status,total_resultados,match_codigo_exato,codigo_tuss_retorno,descricao,vigencia,categoria,erro,codigo_anvisa,complemento,fabricante,descricao_detalhada,nome_tecnico,data_inicio_vigencia,data_fim_vigencia,data_implantacao,dia_mes_ano_fim_vigencia,eh_medicamento,eh_procedimento,eh_material,eh_diarias_taxas,state,categoria_key
00021207,True,200,11,false,77672984,COMPONENTE BASE TIBIAL - MB - 2626-212-075 / 39.25.06.12075 – Pino Alongador Excêntrico Ø 12x085 mm (075 mm) - T,V,Materiais,,10417940135,2626-212-075 / 39.25.06.12075 – Pino Alongador Excêntrico Ø 12x085 mm (075 mm) - T,"VINCULA INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE IMPLANTES S.A.",,,2019-06-01T00:00:00,,2020-02-29T00:00:00,,False,False,True,False,I,
00035108,True,200,8,false,74745638,COMPONENTE PROTÉTICOS EM TITÂNIO SINGULAR - 108.035,V,Materiais,,80984050002,108.035,DMR INDÚSTRIA E COMÉRCIO DE MATERIAIS ODONTOLÓGICOS LTDA.,,,2019-03-01T00:00:00,,2020-02-29T00:00:00,,False,False,True,False,I,
00091742,True,200,10,false,75359537,Pino Implantável em Aço Inox Neoortho - 917.420 - Pino Monocortical Cônico D5.0x30x340mm,V,Materiais,,80546720077,917.420 - Pino Monocortical Cônico D5.0x30x340mm,NEOORTHO PRODUTOS ORTOPÉDICOS S/A,,,2019-03-01T00:00:00,,2020-02-29T00:00:00,,False,False,True,False,I,
10135961,True,200,1,false,101359616,"BD PosiFlush Pre-filled Normal Saline Flush Syringe – Seringas pré-enchidas com solução de cloreto de sódio a 0,9%, USP",V,Materiais,,10033430831,NÃO SE APLICA,BECTON DICKINSON INDÚSTRIAS CIRÚRGICAS LTDA.,,,2021-09-01T00:00:00,,2021-11-30T00:00:00,,False,False,True,False,I,
19021123,True,200,0,,,,,,,,,,,,,,,,,,,,,
19791734,True,200,0,,,,,,,,,,,,,,,,,,,,,
19804956,True,200,0,,,,,,,,,,,,,,,,,,,,,
19805489,True,200,0,,,,,,,,,,,,,,,,,,,,,
19807942,True,200,0,,,,,,,,,,,,,,,,,,,,,
20007817,True,200,0,,,,,,,,,,,,,,,,,,,,,
20481730,True,200,0,,,,,,,,,,,,,,,,,,,,,
